,gpu_to_load_model_mb
facebook/nllb-200-distilled-600M,2354.3359375
facebook/nllb-200-distilled-1.3B,5236.5859375
facebook/nllb-200-3.3B,12776.0625
Qwen/Qwen2.5-0.5B-Instruct,1885.2734375
Qwen/Qwen2.5-1.5B-Instruct,5889.55322265625
Qwen/Qwen2.5-3B-Instruct,11772.92236328125
Qwen/Qwen2.5-7B-Instruct,8309.69091796875
CohereForAI/aya-expanse-8b,8661.50830078125
bigscience/bloomz-3b,11513.84765625
bigscience/mt0-xl,14276.9609375
meta-llama/Llama-3.2-1B-Instruct,4714.25830078125
meta-llama/Llama-3.2-3B-Instruct,12256.66845703125
meta-llama/Llama-3.1-8B-Instruct,8665.75830078125
meta-llama/Meta-Llama-3-8B-Instruct,8665.75830078125
